time_bucket_id,unique_src_ips,unique_dst_ips,unique_dst_ports,avg_duration,failed_conns,tcp_count,dns_count,unique_domains,file_count,total_file_bytes,reporter_count,snmp_count,tunnel_count,unique_tunnel_types,failed_conn_ratio,tcp_ratio,snmp_write_ratio,traffic_asymmetry,total_bytes,src_concentration,weird_rate,dns_to_conn_ratio,nxdomain_ratio
76,876,146,353,1.2607330062505229,1416,1151,8.0,6.0,29.0,2141.0,14.0,4.0,1.0,1.0,0.7853577371048253,0.6383804769828064,0.0,0.05262172284644195,21360.0,0.4858569051580699,0.017193566278424846,0.004437049362174155,0.0
77,10,3,11,0.1070846148899623,12,9,1.0,1.0,5.0,425.0,0.0,2.0,0.0,0.0,0.75,0.5625,0.0,0.0,0.0,0.625,0.25,0.0625,0.0
78,944,119,291,0.2858693861063554,1385,1193,7.0,7.0,12.0,2123.0,16.0,2.0,0.0,0.0,0.8455433455433455,0.7283272283272283,0.0,-0.4205031661817559,5843.0,0.5763125763125763,0.03785103785103785,0.004273504273504274,0.0
79,349,58,157,0.1242295213313918,498,386,1.0,1.0,2.0,320.0,6.0,1.0,0.0,0.0,0.7980769230769231,0.6185897435897436,0.0,0.6574719612003638,6598.0,0.5592948717948718,0.014423076923076924,0.0016025641025641025,0.0
105,57,16,35,0.6071217678211354,63,46,5.0,4.0,1.0,17.0,1.0,0.0,2.0,1.0,0.6774193548387096,0.4946236559139785,0.0,0.05601317957166392,2428.0,0.6129032258064516,0.010752688172043012,0.053763440860215055,0.0
106,1121,154,279,0.6318055053603867,1708,1419,15.0,8.0,11.0,1080.0,15.0,5.0,2.0,1.0,0.8121730860675226,0.6747503566333809,0.0,0.11319904309537843,57686.0,0.5330480266286258,0.0028530670470756064,0.007132667617689016,0.0
107,2662,98,206,20.651058821316223,1589,40008,14.0,8.0,63.0,9816.0,9.0,2.0,0.0,0.0,0.0391823248014992,0.9865364698919958,0.0,-0.2204491543698592,64922.0,0.06564087389653302,0.0004438526409232135,0.00034521872071805495,0.0
108,3789,185,894,21.04509499531268,2171,67920,8.0,6.0,2.0,183.0,21.0,5.0,0.0,0.0,0.0316855670855408,0.9912868339244276,0.0,0.09422901730898721,50494.0,0.05530014448968869,0.0003648729512383788,0.00011675934439628121,0.0
109,891,111,233,0.8647958578405429,1226,1052,10.0,7.0,46.0,3979.0,14.0,2.0,0.0,0.0,0.7945560596241089,0.6817887232663642,0.0,0.10904206691889003,71101.0,0.577446532728451,0.008425145819831496,0.0064808813998703824,0.0
110,790,125,263,0.6883141189318213,1205,1037,9.0,6.0,15.0,2377.0,16.0,2.0,0.0,0.0,0.8011968085106383,0.6894946808510638,0.0,-0.00025525087514585763,54848.0,0.5252659574468085,0.0026595744680851063,0.005984042553191489,0.0
111,802,130,266,0.7894058589307656,1246,998,16.0,9.0,11.0,3308.0,17.0,4.0,0.0,0.0,0.7653562653562653,0.6130221130221131,0.5,-0.045793355779148746,51383.0,0.4926289926289926,0.015356265356265357,0.009828009828009828,0.0
112,253,75,125,1.5002336848954685,539,456,7.0,5.0,5.0,1424.0,6.0,3.0,0.0,0.0,0.8032786885245902,0.6795827123695977,0.0,-0.013140775435857403,15372.0,0.3770491803278688,0.0029806259314456036,0.010432190760059613,0.0
113,786,162,384,0.7587061643600463,1580,1521,14.0,11.0,320.0,70699.0,15.0,4.0,1.0,1.0,0.7570675610924772,0.7287973167225683,0.0,-0.2068489505372052,240504.0,0.3766171538092956,0.007187350263536177,0.006708193579300431,0.0
114,744,153,236,1.0866462021176495,1148,977,6.0,5.0,19.0,1514.0,14.0,2.0,0.0,0.0,0.7602649006622516,0.6470198675496689,0.0,-0.02082716414963972,60786.0,0.49271523178807947,0.009933774834437087,0.003973509933774834,0.0
115,794,116,502,0.9574978067644812,1482,1362,7.0,7.0,313.0,33364.0,12.0,4.0,0.0,0.0,0.7197668771248179,0.661486158329286,0.0,-0.04920636361161278,220378.0,0.3856240893637688,0.009713453132588635,0.003399708596406022,0.0
116,696,110,529,0.1784279923407591,8797,8724,5.0,5.0,430.0,227339.0,16.0,5.0,0.0,0.0,0.9344593159124708,0.9267049075844488,0.0,0.17429712705484712,390540.0,0.07393244104525175,0.0010622477161674102,0.0005311238580837051,0.0
117,733,128,396,0.7650211597949498,1266,1052,15.0,11.0,15.0,2823.0,19.0,2.0,2.0,1.0,0.7809993830968538,0.64898210980876,0.0,0.01818048125884667,54399.0,0.4521900061690315,0.006169031462060457,0.009253547193090685,0.0
118,741,120,336,0.7842178659579943,1324,1050,9.0,8.0,35.0,5479.0,13.0,7.0,0.0,0.0,0.7492925863044708,0.5942275042444821,0.0,-0.13372152765884568,58390.0,0.41935483870967744,0.013016411997736276,0.0050933786078098476,0.0
119,814,120,301,0.964932407765732,1301,1079,43.0,10.0,74.0,7288.0,16.0,6.0,0.0,0.0,0.7371104815864022,0.6113314447592068,0.0,-0.0751978200492585,76332.0,0.46118980169971674,0.024929178470254956,0.024362606232294616,0.0
120,933,126,294,0.512582577546192,1407,1187,5.0,4.0,54.0,5713.0,12.0,2.0,0.0,0.0,0.7764900662251656,0.6550772626931567,0.0,-0.08724305452183445,73897.0,0.5149006622516556,0.009381898454746136,0.0027593818984547464,0.0
121,1103,141,470,1.1804500717392512,1800,1838,13.0,10.0,532.0,12143.0,13.0,4.0,0.0,0.0,0.6974041069352964,0.7121270825261526,0.0,0.07436675702532972,295858.0,0.4273537388609066,0.00581170089112747,0.005036807438977141,0.0
122,1037,117,291,0.7408308703830883,1525,1320,11.0,10.0,37.0,3304.0,15.0,2.0,1.0,1.0,0.7934443288241415,0.6867845993756504,0.0,0.019115488133104968,65392.0,0.5395421436004162,0.0036420395421436005,0.005723204994797087,0.0
123,954,91,316,0.4476914826867192,1441,1277,6.0,5.0,9.0,302.0,20.0,5.0,0.0,0.0,0.8315060588574726,0.7368724754760531,0.0,0.05375052549396433,49953.0,0.5504904789382573,0.004039238315060588,0.003462204270051933,0.0
124,959,102,320,0.8090077742324886,1397,1240,4.0,3.0,44.0,4131.0,15.0,4.0,1.0,1.0,0.8051873198847262,0.7146974063400576,0.0,0.07879019682838566,67978.0,0.5527377521613833,0.00345821325648415,0.0023054755043227667,0.0
125,1130,117,322,0.4119382834527039,1583,1447,9.0,7.0,41.0,3832.0,16.0,2.0,0.0,0.0,0.839787798408488,0.7676392572944297,0.0,-0.08678578107202965,58823.0,0.5994694960212201,0.008488063660477453,0.004774535809018567,0.0
